26,+,40,66
13,+,36,49
2,+,65,67
37,+,45,82
21,+,4,25
19,+,48,67
60,+,12,72
46,+,29,75
14,+,63,77
6,+,22,28
18,+,45,63
13,+,79,92
54,+,10,64
29,+,46,75
86,+,13,99
1,+,85,86
0,+,75,75
34,+,63,97
0,+,20,20
74,+,22,96
46,+,27,73
65,+,24,89
17,+,56,73
55,+,23,78
59,+,33,92
35,+,43,78
11,+,8,19
63,+,9,72
25,+,37,62
3,+,55,58
2,+,76,78
64,+,25,89
37,+,26,63
0,+,8,8
74,+,22,96
69,+,18,87
84,+,1,85
26,+,15,41
67,+,5,72
42,+,9,51
62,+,5,67
22,+,28,50
53,+,6,59
16,+,55,71
61,+,4,65
58,+,0,58
16,+,59,75
50,+,44,94
4,+,90,94
27,+,40,67
