42,-,22,20
7,+,75,82
78,+,14,92
31,+,24,55
83,+,10,93
38,+,43,81
12,-,5,7
40,-,33,7
58,+,23,81
30,-,2,28
91,-,43,48
37,+,4,41
41,-,36,5
64,-,15,49
84,-,44,40
65,-,60,5
33,+,26,59
82,-,79,3
86,+,5,91
30,+,3,33
71,-,69,2
70,-,70,0
16,-,1,15
52,+,36,88
58,+,28,86
98,-,29,69
88,+,3,91
41,+,27,68
17,-,16,1
25,-,19,6
96,-,39,57
64,+,15,79
32,+,29,61
100,-,61,39
10,-,0,10
72,+,18,90
45,+,26,71
4,+,69,73
43,+,12,55
1,+,74,75
41,-,23,18
80,-,5,75
67,+,6,73
69,-,63,6
27,-,27,0
76,+,10,86
12,-,2,10
26,+,72,98
57,-,5,52
77,-,28,49
